"SEMANA","PERIODO","accidentes"
"01",2014,671
"02",2014,551
"03",2014,691
"04",2014,706
"05",2014,774
"06",2014,787
"07",2014,841
"08",2014,757
"09",2014,817
"10",2014,867
"11",2014,860
"12",2014,880
"13",2014,822
"14",2014,849
"15",2014,887
"16",2014,582
"17",2014,773
"18",2014,777
"19",2014,793
"20",2014,799
"21",2014,859
"22",2014,804
"23",2014,848
"24",2014,815
"25",2014,777
"26",2014,734
"27",2014,763
"28",2014,750
"29",2014,805
"30",2014,805
"31",2014,815
"32",2014,851
"33",2014,795
"34",2014,700
"35",2014,790
"36",2014,730
"37",2014,827
"38",2014,868
"39",2014,760
"40",2014,829
"41",2014,697
"42",2014,722
"43",2014,782
"44",2014,770
"45",2014,712
"46",2014,786
"47",2014,728
"48",2014,815
"49",2014,830
"50",2014,743
"51",2014,819
"52",2014,696
"01",2015,254
"02",2015,566
"03",2015,669
"04",2015,750
"05",2015,690
"06",2015,816
"07",2015,819
"08",2015,793
"09",2015,792
"10",2015,812
"11",2015,814
"12",2015,827
"13",2015,749
"14",2015,558
"15",2015,806
"16",2015,793
"17",2015,880
"18",2015,796
"19",2015,869
"20",2015,849
"21",2015,785
"22",2015,817
"23",2015,846
"24",2015,715
"25",2015,730
"26",2015,696
"27",2015,696
"28",2015,843
"29",2015,867
"30",2015,726
"31",2015,855
"32",2015,866
"33",2015,819
"34",2015,741
"35",2015,887
"36",2015,837
"37",2015,885
"38",2015,901
"39",2015,801
"40",2015,841
"41",2015,789
"42",2015,787
"43",2015,803
"44",2015,791
"45",2015,738
"46",2015,782
"47",2015,768
"48",2015,817
"49",2015,833
"50",2015,835
"51",2015,891
"52",2015,682
"53",2015,367
"01",2016,576
"02",2016,647
"03",2016,780
"04",2016,771
"05",2016,846
"06",2016,823
"07",2016,881
"08",2016,767
"09",2016,818
"10",2016,902
"11",2016,903
"12",2016,505
"13",2016,719
"14",2016,898
"15",2016,841
"16",2016,789
"17",2016,854
"18",2016,846
"19",2016,782
"20",2016,869
"21",2016,786
"22",2016,643
"23",2016,721
"24",2016,847
"25",2016,809
"26",2016,659
"27",2016,770
"28",2016,822
"29",2016,752
"30",2016,885
"31",2016,951
"32",2016,844
"33",2016,820
"34",2016,855
"35",2016,802
"36",2016,818
"37",2016,878
"38",2016,861
"39",2016,832
"40",2016,930
"41",2016,830
"42",2016,798
"43",2016,865
"44",2016,852
"45",2016,749
"46",2016,794
"47",2016,864
"48",2016,749
"49",2016,755
"50",2016,840
"51",2016,824
"52",2016,603
"53",2016,173
"01",2017,532
"02",2017,643
"03",2017,795
"04",2017,761
"05",2017,825
"06",2017,831
"07",2017,792
"08",2017,926
"09",2017,787
"10",2017,845
"11",2017,773
"12",2017,701
"13",2017,855
"14",2017,834
"15",2017,591
"16",2017,744
"17",2017,863
"18",2017,803
"19",2017,830
"20",2017,810
"21",2017,814
"22",2017,804
"23",2017,837
"24",2017,837
"25",2017,672
"26",2017,704
"27",2017,732
"28",2017,808
"29",2017,779
"30",2017,868
"31",2017,960
"32",2017,814
"33",2017,885
"34",2017,754
"35",2017,831
"36",2017,864
"37",2017,853
"38",2017,838
"39",2017,830
"40",2017,835
"41",2017,721
"42",2017,763
"43",2017,800
"44",2017,829
"45",2017,690
"46",2017,812
"47",2017,754
"48",2017,823
"49",2017,775
"50",2017,799
"51",2017,876
"52",2017,689
NA,2017,4
"01",2018,627
"02",2018,533
"03",2018,775
"04",2018,709
"05",2018,718
"06",2018,751
"07",2018,861
"08",2018,794
"09",2018,762
"10",2018,748
"11",2018,807
"12",2018,732
"13",2018,562
"14",2018,805
"15",2018,759
"16",2018,770
"17",2018,769
"18",2018,708
"19",2018,826
"20",2018,723
"21",2018,820
"22",2018,772
"23",2018,718
"24",2018,752
"25",2018,773
"26",2018,687
"27",2018,639
"28",2018,740
"29",2018,765
"30",2018,798
"31",2018,805
"32",2018,762
"33",2018,819
"34",2018,738
"35",2018,760
"36",2018,810
"37",2018,771
"38",2018,777
"39",2018,815
"40",2018,788
"41",2018,750
"42",2018,692
"43",2018,752
"44",2018,863
"45",2018,698
"46",2018,759
"47",2018,792
"48",2018,687
"49",2018,788
"50",2018,799
"51",2018,799
"52",2018,639
"01",2019,434
"02",2019,550
"03",2019,697
"04",2019,736
"05",2019,719
"06",2019,727
"07",2019,811
"08",2019,748
"09",2019,719
"10",2019,688
"11",2019,745
"12",2019,744
"13",2019,599
"14",2019,834
"15",2019,782
"16",2019,530
"17",2019,712
"18",2019,690
"19",2019,861
"20",2019,733
"21",2019,785
"22",2019,681
"23",2019,758
"24",2019,777
"25",2019,696
"26",2019,712
"27",2019,683
"28",2019,789
"29",2019,856
"30",2019,873
"31",2019,921
"32",2019,912
"33",2019,946
"34",2019,746
"35",2019,859
"36",2019,943
"37",2019,870
"38",2019,948
"39",2019,897
"40",2019,125
